Description,Reference Information,Risk Information,name,plugin_id,severity,solution
"The scanner collected the cookies returned by the application during the scan. The list includes the following information for each cookie: - Name: name of the cookie - Value: value of the cookie - Domain: hosts to which the cookie will be sent - Path: URL path which must exist in the requested resource before sending the cookie - Expires: maximum lifetime of the cookie as an HTTP-date timestamp - Max-Age: number of seconds until the cookie expires - HttpOnly: cookie is set to be not accessible via JavaScript, XMLHttpRequest and Request APIs - Secure: cookie will be sent to the server only when a request is made using HTTPS - SameSite: cookie will be sent along with cross-site request according the defined policy - URL: first URL discovered which set the cookie in its response - Set-Method: method used by the application to set the cookie (Set-Cookie or JavaScript) - Audited: cookie will be audited by plugins during the scan - Reason Not Audited: reason given for the cookie not being audited during the scan","https://developer.mozilla.org/en-US/docs/Web/HTTP/Cookies, https://en.wikipedia.org/wiki/HTTP_cookie, https://tools.ietf.org/html/rfc6265",CVSSV4 BASE SCORE - CVSSV4 VECTOR - CVSSV3 BASE SCORE - CVSSV3 VECTOR - CVSS BASE SCORE - CVSS VECTOR -,Cookies Collected,98061,Info,-
"Scanner has detected a common directory on the remote web server. Web applications are often made up of multiple files and directories. It is possible that over time some directories may become unreferenced (unused) by the web application and forgotten about by the administrator or developer. Because web applications are built using common frameworks, they contain common directories that can be discovered (independent of server). During the initial reconnaissance stages of an attack, cyber-criminals will attempt to locate unreferenced directories in the hope that the directory will assist in further compromise of the web application. To achieve this, they will make thousands of requests using word lists containing common names. The response headers from the server will then indicate if the directory exists.",http://httpd.apache.org/docs/2.0/mod/mod_access.html http://projects.webappsec.org/w/page/13246953/Predictable%20Resource%20Location https://www.nginx.com/resources/admin-guide/restricting-access-auth-basic/ https://www.owasp.org/index.php/Forced_browsing,CVSSV4 BASE SCORE - CVSSV4 VECTOR - CVSSV3 BASE SCORE - CVSSV3 VECTOR - CVSS BASE SCORE - CVSS VECTOR -,Common Directories Detection,98072,Info,"If directories are unreferenced, then they should be removed from the web root and/or the application directory. Preventing access without authentication may also be an option and can stop a client from being able to view the contents of a file; however, it is still likely that the directory structure will be able to be discovered. Using obscure directory names is implementing 'security through obscurity' and is not a recommended option."
The application is using cookies to store sensitive information such as language settings and user preferences. This can be exploited by attackers to steal user data.,https://owasp.org/www-community/HttpOnly,Attackers can potentially steal sensitive user information stored in cookies.,Cookie Security,001,High,"Implement secure cookie practices such as using HttpOnly and Secure flags, encrypting sensitive data, and validating cookie data on the server side."
The scanner identified a common directory 'ftp' which may be vulnerable to directory listing attacks. This can expose sensitive files and directories to attackers.,https://owasp.org/www-community/Directory_listing,Attackers can potentially access sensitive files and directories on the server.,Directory Listing,002,Medium,Disable directory listing on the server to prevent attackers from accessing sensitive information.
"The common directory 'reviews' was identified by the scanner, potentially allowing unauthorized access to sensitive information.",https://owasp.org/www-community/attacks/Directory_listing,Unauthorized access to sensitive information,Directory Listing,001,High,Disable directory listing for the 'reviews' directory to prevent unauthorized access.
"Private, or non-routable, IP addresses are generally used within a home or company network and are typically unknown to anyone outside of that network. Cyber-criminals will attempt to identify the private IP address range being used by their victim, to aid in collecting further information that could then lead to a possible compromise. Scanner discovered that the affected page returned a RFC 1918 compliant private IP address and therefore could be revealing sensitive information. This finding typically requires manual verification to ensure the context is correct, as any private IP address within the HTML body will trigger it.",CWE - WASC -,CVSSV4 BASE SCORE - CVSSV4 VECTOR - CVSSV3 BASE SCORE - CVSSV3 VECTOR - CVSS BASE SCORE - CVSS VECTOR -,Private IP Address Disclosure,98077,Info,"Identifying the context in which the affected page displays a Private IP address is necessary. If the page is publicly accessible and displays the Private IP of the affected server (or supporting infrastructure), then measures should be put in place to ensure that the IP address is removed from any response."
"Email addresses are typically found on 'Contact us' pages, however, they can also be found within scripts or code comments of the application. They are used to provide a legitimate means of contacting an organisation. As one of the initial steps in information gathering, cyber-criminals will spider a website and using automated methods collect as many email addresses as possible, that they may then use in a social engineering attack. Using the same automated methods, scanner was able to detect one or more email addresses that were stored within the affected page.","CWE -
WASC -
OWASP -
CVE -
BID -","CVSSV4 BASE SCORE -
CVSSV4 VECTOR -
CVSSV3 BASE SCORE -
CVSSV3 VECTOR -
CVSS BASE SCORE -
CVSS VECTOR -",E-mail Address Disclosure,98078,Info,E-mail addresses should be presented in such a way that it is hard to process them automatically.
Publishes the target information of the starting url as evaluated by the scan.,"CWE -
WASC -
OWASP -
CVE -
BID -","CVSSV4 BASE SCORE -
CVSSV4 VECTOR -
CVSSV3 BASE SCORE -
CVSSV3 VECTOR -
CVSS BASE SCORE -
CVSS VECTOR -",Web Application Scanning Detailed Scan Export: Web app scan Juice Shop & bWAAP,98136,Info,-
The 'access-control-allow-origin' header is set to '*' which allows any origin to access the resource. This can lead to Cross-Origin Resource Sharing (CORS) vulnerabilities.,https://developer.mozilla.org/en-US/docs/Web/HTTP/Headers/Access-Control-Allow-Origin,This vulnerability can allow attackers to perform Cross-Site Request Forgery (CSRF) attacks and access sensitive data.,Access Control Allow Origin Misconfiguration,98136,Medium,Set the 'access-control-allow-origin' header to specific origins that are allowed to access the resource.
"Screenshot of the target web page, see attached image. This screenshot should show you the target page we are launching the scan against. If the image is not of the intended target page, please check the provided url in the scan configuration.","CWE -
WASC -
OWASP -
CVE -
BID -","CVSSV4 BASE SCORE -
CVSSV4 VECTOR -
CVSSV3 BASE SCORE -
CVSSV3 VECTOR -
CVSS BASE SCORE -
CVSS VECTOR -",Web Application Scanning Detailed Scan Export: Web app scan Juice Shop & bWAAP,98138,Info,-
Web app scan Juice Shop & bWAAP,N/A,N/A,Web Application Scanning Detailed Scan Export,98138,Informational,N/A
The scanner has detected the presence of a form during the crawling of the target web application. Details about the form are provided in the plugin output.,"CWE -
WASC -
OWASP -
CVE -
BID -","CVSSV4 BASE SCORE -
CVSSV4 VECTOR -
CVSSV3 BASE SCORE -
CVSSV3 VECTOR -
CVSS BASE SCORE -
CVSS VECTOR -",Form Detected,98148,Info,-
A form with no identifier has been detected on the URL https://juice-shop-16-0-1-178712031365.us-west1.run.app/b2b/v2/orders with no input fields,https://juice-shop-16-0-1-178712031365.us-west1.run.app/b2b/v2/orders,Potential for unauthorized data submission or manipulation,Form with no identifier,98148,Medium,Add proper identifiers and input fields to the form to improve security
A form with no identifier has been detected on the URL https://juice-shop-16-0-1-178712031365.us-west1.run.app/api-docs/ with input fields: download-url-input (text).,https://www.owasp.org/index.php/Top_10-2017_A3-Cross-Site_Scripting_(XSS),Potential for confusion and misuse of form data.,Form with no identifier,001,Medium,Add proper identifiers to the form elements to improve accessibility and security.
An external URL is an URL for which the Fully Qualified Domain Name (FQDN) is not the same as the web target URL one. The scanner detected the presence of external URLs on the target web application and have listed them based on two types : URLs with a domain name in common with the web target URL and all the other external URLs.,"CWE -
WASC -
OWASP -
CVE -
BID -","CVSSV4 BASE SCORE -
CVSSV4 VECTOR -
CVSSV3 BASE SCORE -
CVSSV3 VECTOR -
CVSS BASE SCORE -
CVSS VECTOR -",External URLs Vulnerability,98154,Info,-
The target application uses third party hostnames for 30 URLs.,https://owasp.org/www-community/attacks/Cross-site_Scripting_(XSS),The usage of third party hostnames can potentially lead to security vulnerabilities such as cross-site scripting (XSS) attacks or data leakage.,Third Party Hostname Usage,98154,Medium,Ensure that all URLs used in the application are from trusted sources and do not pose a security risk.
Permissions Policy provides mechanisms to websites to restrict the use of browser features in its own frame and in iframes that it embeds.,"CWE -
WASC -
OWASP -
CVE -
BID -","CVSSV4 BASE SCORE -
CVSSV4 VECTOR -
CVSSV3 BASE SCORE -
CVSSV3 VECTOR -
CVSS BASE SCORE -
CVSS VECTOR -",Missing Permissions Policy,98526,Info,Configure Permissions Policy on your website by adding 'Permissions-Policy' HTTP header.
A Feature-Policy header was found on the specified URLs but must be renamed to Permissions-Policy.,https://developer.mozilla.org/en-US/docs/Web/HTTP/Headers/Feature-Policy,Potential security risk due to misconfiguration of headers.,Missing Permissions Policy Instances,98526,Medium,Rename the Feature-Policy header to Permissions-Policy.
A Feature-Policy header was found on the specified URL but must be renamed to Permissions-Policy.,https://developer.mozilla.org/en-US/docs/Web/HTTP/Headers/Feature-Policy,This could lead to potential security risks as the header is not correctly named.,Feature-Policy Header,001,Medium,Rename the Feature-Policy header to Permissions-Policy.
A Feature-Policy header was found on the specified URL but must be renamed to Permissions-Policy.,https://developer.mozilla.org/en-US/docs/Web/HTTP/Headers/Feature-Policy,Potential security misconfiguration leading to improper handling of features in the web application.,Feature-Policy header found,001,Medium,Rename the Feature-Policy header to Permissions-Policy.
No Permissions-Policy headers were found on the specified URL.,https://developer.mozilla.org/en-US/docs/Web/HTTP/Headers/Feature-Policy,"Without proper Permissions-Policy headers, the web application may be vulnerable to various attacks.",Missing Permissions-Policy header,001,Medium,Implement Permissions-Policy headers to control the permissions of the web application.
A Feature-Policy header was found on the specified URL but it must be renamed to Permissions-Policy.,https://developer.mozilla.org/en-US/docs/Web/HTTP/Headers/Feature-Policy,This vulnerability could potentially allow for unauthorized access or actions on the web application.,Feature-Policy header found with incorrect name,001,Medium,Update the header name to Permissions-Policy.
A Feature-Policy header was found on the specified URLs but must be renamed to Permissions-Policy.,https://developer.mozilla.org/en-US/docs/Web/HTTP/Headers/Feature-Policy,This misconfiguration could potentially allow for unauthorized access or actions on the web application.,Feature-Policy Header Misconfiguration,001,Medium,Rename the Feature-Policy header to Permissions-Policy to ensure proper security configuration.
Referrer Policy provides mechanisms to websites to restrict referrer information (sent in the referer header) that browsers will be allowed to add. No Referrer Policy header or metatag configuration has been detected.,"CWE -
WASC -
OWASP -
CVE -
BID -","CVSSV4 BASE SCORE -
CVSSV4 VECTOR -
CVSSV3 BASE SCORE -
CVSSV3 VECTOR -
CVSS BASE SCORE -
CVSS VECTOR -",Missing Referrer Policy,98527,Info,Configure Referrer Policy on your website by adding 'Referrer-Policy' HTTP header or meta tag referrer in HTML.
No Referrer-Policy headers or body meta tags were found on https://juice-shop-16-0-1-178712031365.us-west1.run.app/,https://developer.mozilla.org/en-US/docs/Web/HTTP/Headers/Referrer-Policy,"Without a Referrer-Policy header, the website is vulnerable to attacks such as CSRF and information leakage.",Missing Referrer Policy Instances,98527,Medium,Add Referrer-Policy headers or body meta tags to the website to prevent certain types of attacks.
No Referrer-Policy headers or body meta tags were found on the specified URLs.,https://developer.mozilla.org/en-US/docs/Web/HTTP/Headers/Referrer-Policy,"Without a Referrer-Policy header, sensitive information could be leaked through referrer headers.",Missing Referrer-Policy Header,001,Medium,Add Referrer-Policy headers to the response to control how referrer information is passed between pages.
Subresource Integrity (SRI) is a web security standard that enables browsers to verify that resources hosted by third parties (CDN for example) are delivered without unexpected manipulation. SRI works by comparing a cryptographic hash declared in the integrity attribute of the resource tag (like script or link) used to fetch the resource and the calculated hash value of this resource. No SRI have been detected for one or more resources.,"CWE -
WASC -
OWASP -
CVE -
BID -","CVSSV4 BASE SCORE -
CVSSV4 VECTOR -
CVSSV3 BASE SCORE -
CVSSV3 VECTOR -
CVSS BASE SCORE -
CVSS VECTOR -",Missing Subresource Integrity,98647,Info,Add a integrity attribute to the resource tag with prefixed and base64 encoded hash of the resource.
The scanner detected 4 resources without subresource integrity defined: 2 URLs related to 'script' resources and 2 URLs related to 'link' resources.,https://www.owasp.org/index.php/Subresource_Integrity,"Without subresource integrity, the resources are vulnerable to attacks such as script injection.",Missing Subresource Integrity Instances,98647,Medium,Implement subresource integrity for the detected resources to prevent potential attacks.
The remote host contains a file named 'robots.txt' that is intended to prevent web 'robots' from visiting certain directories in a website for maintenance or indexing purposes. A malicious user may also be able to use the contents of this file to learn of sensitive documents or directories on the affected site and either retrieve them directly or target them for other attacks.,"CWE -
WASC -
OWASP -
CVE -
BID -","CVSSV4 BASE SCORE -
CVSSV4 VECTOR -
CVSSV3 BASE SCORE -
CVSSV3 VECTOR -
CVSS BASE SCORE -
CVSS VECTOR -",Robots.txt File Detected,98705,Info,"Review the contents of the site's robots.txt file, use Robots META tags instead of entries in the robots.txt file, and/or adjust the web server's access controls to limit access to sensitive material."
"The scan detected that the web application makes requests that appear to be using Fetch or XMLHTTPRequests (XHRs) to communicate with a backend API server. Fetchs/XHRs allow retrieval of data from an API without triggering a page reload, making them especially useful for Single Page Applications.","CWE -
WASC -
OWASP -
CVE -
BID -","CVSSV4 BASE SCORE -
CVSSV4 VECTOR -
CVSSV3 BASE SCORE -
CVSSV3 VECTOR -
CVSS BASE SCORE -
CVSS VECTOR -",Fetch/XHR Detected,98772,Info,-
The scan detected XMLHttpRequests with misconfigured MIME types.,https://owasp.org/www-project-top-ten/2017/A6_2017-Security_Misconfiguration,Potential for data leakage or manipulation due to incorrect MIME type handling.,XMLHttpRequests MIME Type Misconfiguration,98772,Medium,Ensure that XMLHttpRequests are configured with appropriate MIME types to prevent potential security vulnerabilities.
This plugin displays information about the X.509 certificate extracted from the HTTPS connection.,CWE - WASC - OWASP - CVE - BID -,CVSSV4 BASE SCORE -,SSL/TLS Certificate Information,112491,Info,-
"The SSL/TLS certificate for the web application has multiple alternative names, which may increase the attack surface and potential for spoofing attacks.",https://juice-shop-16-0-1-178712031365.us-west1.run.app/,Potential for spoofing attacks and unauthorized access.,SSL/TLS Certificate Information Vulnerability,112491,Medium,Ensure that the SSL/TLS certificate only includes necessary alternative names and regularly monitor for unauthorized changes.
This plugin displays information about the SSL/TLS versions supported by remote server for HTTPS connection.,"CWE -
WASC -
OWASP -
CVE -
BID -","CVSSV4 BASE SCORE -
CVSSV4 VECTOR -
CVSSV3 BASE SCORE -
CVSSV3 VECTOR -
CVSS BASE SCORE -
CVSS VECTOR -",SSL/TLS Versions Supported,112530,Info,-
"The web application supports outdated SSL/TLS versions (SSL 2.0, SSL 3.0, TLS 1.0, TLS 1.1) which are known to have security vulnerabilities.",https://www.owasp.org/index.php/Transport_Layer_Protection_Cheat_Sheet,"The use of outdated SSL/TLS versions can expose the web application to various security risks such as POODLE, BEAST, and DROWN attacks.",SSL/TLS Version Support,112530,High,Upgrade the SSL/TLS versions to TLS 1.2 or TLS 1.3 to mitigate the risk of potential attacks.
The remote web server contains an application which is affected by a path disclosure issue. It may be possible for an attacker to view full path names and conduct further attacks.,"CWE -
WASC -
OWASP -
CVE -
BID -","CVSSV4 BASE SCORE -
CVSSV4 VECTOR -
CVSSV3 BASE SCORE -
CVSSV3 VECTOR -
CVSS BASE SCORE -
CVSS VECTOR -",Full Path Disclosure,112550,Info,"Disable all notice, warning and error displaying."
"The remote server is not configured with a SSL/TLS cipher suite preference list, making the cipher suite selection during the negotiation use the ordered list from the client.","{'CWE': '-', 'WASC': '-', 'OWASP': '-', 'CVE': '-', 'BID': '-'}","{'CVSSV4 BASE SCORE': '-', 'CVSSV4 VECTOR': '-', 'CVSSV3 BASE SCORE': '-', 'CVSSV3 VECTOR': '-', 'CVSS BASE SCORE': '-', 'CVSS VECTOR': '-'}",SSL/TLS Server Cipher Suite Preference Not Detected,112599,Info,-
The scanner identified the supported versions of the HTTP protocol on the target web application.,"CWE -
WASC -
OWASP -
CVE -
BID -","CVSSV4 BASE SCORE -
CVSSV4 VECTOR -
CVSSV3 BASE SCORE -
CVSSV3 VECTOR -
CVSS BASE SCORE -
CVSS VECTOR -",Allowed HTTP Versions,112613,Info,-
"The target application allows multiple HTTP versions (HTTP/1.0, HTTP/1.1, HTTP/2) which may lead to security vulnerabilities.",https://owasp.org/www-project-top-ten/2017/A6_2017-Security_Misconfiguration,Attackers may exploit vulnerabilities specific to certain HTTP versions to launch attacks on the application.,Allowed HTTP Versions Instances,112613,Medium,Restrict the allowed HTTP versions to only the necessary ones and disable any unnecessary versions.
A OpenAPI configuration file has been detected and is available as an attachment below. OpenAPI is a specification that helps with documentation and consumption of REST APIs and may also be used to configure API scanning.,"{'CWE': '-', 'WASC': '-', 'OWASP': '-', 'CVE': '-', 'BID': '-'}","{'CVSSV4 BASE SCORE': '-', 'CVSSV4 VECTOR': '-', 'CVSSV3 BASE SCORE': '-', 'CVSSV3 VECTOR': '-', 'CVSS BASE SCORE': '-', 'CVSS VECTOR': '-'}",OpenAPI File Detected,112615,Info,-
The scan detected that some XHR requests seem to call an API. The scanner generated an OpenAPI file based on the observed requests and attached it to the plugin output. This OpenAPI file can then be used to run a scan against the API with WAS API Scanning.,"CWE -
WASC -
OWASP -
CVE -
BID -","CVSSV4 BASE SCORE -
CVSSV4 VECTOR -
CVSSV3 BASE SCORE -
CVSSV3 VECTOR -
CVSS BASE SCORE -
CVSS VECTOR -",API Detected,112616,Info,-
API endpoints have been detected for the following host(s): - https://juice-shop-16-0-1-178712031365.us-west1.run.app - https://github.com,https://juice-shop-16-0-1-178712031365.us-west1.run.app/#/,"Exposure of API endpoints can lead to unauthorized access, data leakage, and potential security breaches.",API endpoints exposed,112616,Medium,Ensure that sensitive API endpoints are properly secured and access is restricted to authorized users only.
"A Security.txt file has been detected on the target. When security risks in web services are discovered by independent security researchers, this file defines the channels to disclose them properly. As a result, security issues may be disclosed by 3rd party researchers securely in a manner defined by the organization.","{'CWE': '-', 'WASC': '-', 'OWASP': '-', 'CVE': '-', 'BID': '-'}","{'CVSSV4 BASE SCORE': '-', 'CVSSV4 VECTOR': '-', 'CVSSV3 BASE SCORE': '-', 'CVSSV3 VECTOR': '-', 'CVSS BASE SCORE': '-', 'CVSS VECTOR': '-'}",Security.txt File Detected,112722,Info,-
An out-of-date version of JQuery has been detected. An outdated version could have vulnerabilities or missing security features.,"{'CWE': '-', 'WASC': '-', 'OWASP': '-', 'CVE': '-', 'BID': '-'}","{'CVSSV4 BASE SCORE': '-', 'CVSSV4 VECTOR': '-', 'CVSSV3 BASE SCORE': '-', 'CVSSV3 VECTOR': '-', 'CVSS BASE SCORE': '-', 'CVSS VECTOR': '-'}",Out-of-Date JQuery Detected,113027,Info,Upgrade to the latest version of JQuery.
The remote server presents an SSL/TLS certificate with wildcard entries. The use of a wildcard character in a entry permits a certificate to cover a number of subdomains of a domain.,"CWE -
WASC -
OWASP -
CVE -
BID -","CVSSV4 BASE SCORE -
CVSSV4 VECTOR -
CVSSV3 BASE SCORE -
CVSSV3 VECTOR -
CVSS BASE SCORE -
CVSS VECTOR -",SSL/TLS Certificate Contains Wildcard Entries,113045,Info,-
Three attachments are included in this finding to assist in performance tuning of your scan: -pages_telemetry.csv: Scan statistics organized by page -plugins_telemetry.csv: Scan statistics organized by plugin -time_telemetry.csv: Chronological scan statistics,https://juice-shop-16-0-1-178712031365.us-west1.run.app/#/,Exposure of scan statistics can potentially reveal sensitive information about the web application and its vulnerabilities.,Web Application Scanning Detailed Scan Export,113393,Medium,Ensure that sensitive information is not exposed in the scan statistics files. Limit access to these files to authorized personnel only.
"Web applications relying on JavaScript often need to perform cross-origin communication between `Window` objects such as a page and an embedded iframe or a popup window. The postMessage API allows developers to circumvent the same-origin policy restrictions in order to exchange data between scripts located on different origins. Depending on the application needs, messages event listeners could be added to use received messages in part of its logic. However, if the data received in these messages are used, for example, to build the page DOM, an attacker could leverage this issue to inject malicious data and conduct client-side attacks like Cross-Site Scripting (XSS) or Prototype Pollution.","CWE -
WASC -
OWASP -
CVE -
BID -","CVSSV4 BASE SCORE -
CVSSV4 VECTOR -
CVSSV3 BASE SCORE -
CVSSV3 VECTOR -
CVSS BASE SCORE -
CVSS VECTOR -",PostMessage Wildcard Event Listener Detected,113851,Info,Remove the message event listener if this is not needed in the application logic or verify that the message sender origin is matching with a trusted allowlist.
"HTML comments are often used by developers to include information related to the application inline, which are ignored by a clients browser during rendering. These comments may include sensitive information such as SQL queries, credentials or internal IP for example.","CWE -
WASC -
OWASP -
CVE -
BID -","CVSSV4 BASE SCORE -
CVSSV4 VECTOR -
CVSSV3 BASE SCORE -
CVSSV3 VECTOR -
CVSS BASE SCORE -
CVSS VECTOR -",HTML Comments Detected,113897,Info,"Review the HTML comments identified on the page for any information leakage, and remove any sensitive information identified."
2 HTML comments have been detected in the application HTTP response.,https://owasp.org/www-community/attacks/Information_Leakage_through_HTML_Comments,The presence of HTML comments in HTTP responses can potentially expose sensitive information about the application's structure or functionality.,HTML Comments in HTTP Response,001,Medium,Remove or sanitize HTML comments to prevent potential information disclosure.
"Developers often combine and minify their application JavaScript sources to help the server delivering it more efficiently to the client browsers. Sometimes, web applications JavaScript code may also be transpiled from another language like CoffeeScript of TypeScript. A source map is a file that maps from the transformed source code to the original source, allowing the browser to reconstruct the original source code and present it to the debugger.","CWE -
WASC -
OWASP -
CVE -
BID -","CVSSV4 BASE SCORE -
CVSSV4 VECTOR -
CVSSV3 BASE SCORE -
CVSSV3 VECTOR -
CVSS BASE SCORE -
CVSS VECTOR -",JavaScript Source Map Detected,114132,Info,-
This is an informational plugin to inform that user data controlled input is reflected in the response.,"CWE -
WASC -
OWASP -
CVE -
BID -","CVSSV4 BASE SCORE -
CVSSV4 VECTOR -
CVSSV3 BASE SCORE -
CVSSV3 VECTOR -
CVSS BASE SCORE -
CVSS VECTOR -",Input Reflected,114135,Info,-
The scanner was able to detect an input reflected in the response body.,https://owasp.org/www-community/attacks/xss/,This vulnerability could be exploited by an attacker to execute malicious scripts in the context of a user's browser.,Input Reflected Instances,114135,Medium,Implement proper input validation and output encoding to prevent reflected XSS attacks.
This is an informational plugin to inform the user that the scanner has detected the usage of WebSockets on the target web application.,"{'CWE': '-', 'WASC': '-', 'OWASP': '-', 'CVE': '-', 'BID': '-'}","{'CVSSV4 BASE SCORE': '-', 'CVSSV4 VECTOR': '-', 'CVSSV3 BASE SCORE': '-', 'CVSSV3 VECTOR': '-', 'CVSS BASE SCORE': '-', 'CVSS VECTOR': '-'}",WebSocket Detected,114395,Info,-
A Path Relative Style Sheet Import occurs when the application imports a style sheet via a relative URL and uses user input in the file name. This vulnerability mainly affects older browsers such as Internet Explorer and allows an attacker to exploit the way the browser handles stylesheet imports in order to perform CSS Injection.,"CWE -
WASC -
OWASP -
CVE -
BID -","CVSSV4 BASE SCORE -
CVSSV4 VECTOR -
CVSSV3 BASE SCORE -
CVSSV3 VECTOR -
CVSS BASE SCORE -
CVSS VECTOR -",Path Relative Stylesheet Import,114466,Info,"It is preferable not to use path-related URLs in stylesheet imports, and also to use the 'X-Content-Type-Options: nosnif' and 'X-Frame-Options: deny' headers."
The web application is importing a style sheet with a 'href' that does not begin with a /,https://owasp.org/www-community/vulnerabilities/Path_Relative_Stylesheet_Import,This vulnerability could potentially allow an attacker to manipulate the style sheet import and inject malicious code into the web application,Path Relative Stylesheet Import,N/A,Medium,Ensure that all style sheet imports begin with a / to prevent path relative stylesheet imports
This is an informational plugin to inform the user that the scanner detected the presence of one or multiple virtual hosts on the target server.,"{'CWE': '-', 'WASC': '-', 'OWASP': '-', 'CVE': '-', 'BID': '-'}","{'CVSSV4 BASE SCORE': '-', 'CVSSV4 VECTOR': '-', 'CVSSV3 BASE SCORE': '-', 'CVSSV3 VECTOR': '-', 'CVSS BASE SCORE': '-', 'CVSS VECTOR': '-'}",Virtual Hosts Detected,114503,Info,Review all the detected virtual hosts to ensure they are expected to be externally reachable.
"Crafting a request with a specific 'Host' header allows the scanner to obtain a different response, revealing the presence of another virtual host on the target IP.",https://juice-shop-16-0-1-178712031365.us-west1.run.app/#/,This vulnerability could potentially lead to unauthorized access to sensitive information hosted on the virtual host.,Virtual Host Misconfiguration,114503,Medium,Ensure proper configuration of virtual hosts to prevent unauthorized access and information disclosure.
This is an informational notice that the scanner was able to detect a REST API.,"{'CWE': '-', 'WASC': '-', 'OWASP': '-', 'CVE': '-', 'BID': '-'}","{'CVSSV4 BASE SCORE': '-', 'CVSSV4 VECTOR': '-', 'CVSSV3 BASE SCORE': '-', 'CVSSV3 VECTOR': '-', 'CVSS BASE SCORE': '-', 'CVSS VECTOR': '-'}",REST API Detected,114608,Info,-
REST API endpoints are exposed and can be accessed by unauthorized users.,https://owasp.org/www-project-api-security/,"Unauthorized access to sensitive data, potential data breaches.",REST API Detected Instances,114608,High,Implement proper authentication and authorization mechanisms to restrict access to the APIs.
This plugin displays supported SSL/TLS cipher suites.,"CWE -
WASC -
OWASP -
CVE -
BID -","CVSSV4 BASE SCORE -
CVSSV4 VECTOR -
CVSSV3 BASE SCORE -
CVSSV3 VECTOR -
CVSS BASE SCORE -
CVSS VECTOR -",SSL/TLS Cipher Suites Supported,115491,Info,-
The web application supports weak cipher suites which can be exploited by attackers to intercept and decrypt sensitive information.,https://www.owasp.org/index.php/Transport_Layer_Protection_Cheat_Sheet,Attackers may be able to intercept and decrypt sensitive information transmitted over the network.,SSL/TLS Cipher Suites Supported Instances,115491,High,"Disable the use of weak cipher suites and only allow the use of strong, secure cipher suites."
,,,Blind SQL Injection (differential analysis),98117,High,Properly sanitize user input to prevent SQL injection attacks.
,,,Secret Data Disclosure,114129,High,Ensure sensitive data is not exposed and implement proper access controls.
,,,SQL Injection,98115,High,Use parameterized queries or ORM to prevent SQL injection vulnerabilities.
,,,Missing HTTP Strict Transport Security Policy,98056,Medium,Implement HTTP Strict Transport Security (HSTS) to enforce secure connections.
,,,Directory Listing,98084,Medium,Disable directory listing to prevent exposing sensitive information.
,,,jQuery < 3.4.0 Prototype Pollution,98590,Medium,Update jQuery to a version that is not vulnerable to prototype pollution.
,,,SSL/TLS Forward Secrecy Cipher Suites Not Supported,98617,Medium,Enable support for forward secrecy cipher suites in SSL/TLS configurations.
,,,Unvalidated Redirection,98054,Medium,Validate and sanitize redirect URLs to prevent open redirect vulnerabilities.
,,,jQuery 1.2.0 < 3.5.0 Cross-Site Scripting,112383,Medium,Update jQuery to a version that is not vulnerable to cross-site scripting.
,,,Source Code Passive Disclosure,98779,Medium,Ensure source code is not exposed in production environments.
